Model,Best_Params,CV_R2_Mean,CV_R2_Std,Test_R2,Test_MSE,Test_RMSE,Test_MAE,Predictions,Generalization_Gap
SVR_RBF,"{'C': 10, 'epsilon': 0.5, 'gamma': 0.01}",0.19210020224305666,0.38568135803769177,0.3657101900465952,14.319839199779082,3.784156339235878,2.9470843873094577,"[7.72344809e+00 1.22869874e+01 3.17166841e+00 9.60690314e+00
 2.29479100e+00 9.93375444e+00 2.93923541e+00 9.28057038e+00
 2.21869832e+00 6.20345379e+00 7.00963788e+00 1.19664158e-02
 2.59197385e+00 4.09832644e+00 3.56493503e+00 7.68123085e+00
 6.39824820e+00 2.41513475e+00 1.00585140e+00]",-0.17360998780353856
SVR_Linear,"{'C': 0.1, 'epsilon': 0.01}",0.1713145548283685,0.34816290347805756,0.3517060993598956,14.63599803384169,3.8257022928923377,2.9970934488270986,"[ 6.51386803 11.40002234  3.33963669  7.99538713  2.5907481  10.19831002
  3.34048817  7.91310814  2.16006242  5.35297227  6.31589676  0.49449491
  3.92308709  4.63128189  3.62465199  7.11993131  5.7811087   2.89534941
  1.1602483 ]",-0.18039154453152711
Neural_Network,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",-0.07525332837009113,0.2909781924715204,0.31544107227396123,15.454723714590626,3.9312496377857546,3.0669533348041393,"[ 9.61881781 16.53664313  3.13624282  7.05523453  2.85083991  9.24937308
  3.47622303 11.81614105  2.59313107  6.25802975  6.5356426   1.0702634
  3.47212272  5.76087544  5.31891414  6.03780435  3.8785995   2.82471157
  0.74418911]",-0.39069440064405236
KNN,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.26366868498375806,0.11998608840084221,0.2638723926380371,16.618947368421047,4.076634318702261,3.157894736842105,"[ 4.06666667 13.          3.8         9.86666667  2.86666667 12.66666667
  4.93333333  5.4         4.4         5.73333333  4.86666667  2.06666667
  6.93333333  6.46666667  6.26666667  7.33333333  2.93333333  3.93333333
  2.93333333]",-0.00020370765427901727
SVR_Poly,"{'C': 1, 'degree': 3, 'epsilon': 0.5, 'gamma': 'auto'}",0.003631783120553833,0.24509743781620008,0.2575469558399269,16.761751550982257,4.094111814665332,3.3125972779162063,"[5.60554219 9.43935066 4.84797738 6.19773219 4.5241909  7.70892149
 4.82569887 5.67031916 3.618409   5.3937883  5.72555412 1.08237957
 5.45606675 5.56052026 4.58132169 5.54381635 5.32565367 4.7691801
 0.44911864]",-0.2539151727193731
Ridge,{'alpha': 100},0.24017960221150045,0.09342349277475152,0.11577987850771554,19.962310222055727,4.467920122613623,3.931509993168231,"[ 7.14941648 11.37896443  5.24168151  7.67900444  4.39664323 10.52866404
  5.12556225  7.70306801  3.65705321  6.26074599  6.51334563  2.68708229
  6.67350315  6.21294502  6.20840104  8.34414587  6.45727027  4.75134388
  2.68138527]",0.12439972370378491
ElasticNet,"{'alpha': 1, 'l1_ratio': 0.7}",0.2773059632882305,0.10522320079984734,0.0997187594376937,20.324908893581153,4.508315527287454,4.008665142650616,"[ 8.69899318 11.20736771  4.48785733  8.24205475  4.36219361  9.26233096
  4.42257301  9.08978776  3.02154053  6.75273547  7.33849716  2.80881097
  5.8750398   6.75273547  5.76322609  8.70706743  7.2979607   4.71245173
  2.80881097]",0.17758720385053678
Lasso,{'alpha': 1},0.26772519476533435,0.1395843251819285,0.06253141345555924,21.1644570092443,4.60048443201847,4.024969424719329,"[ 9.40126527 11.28736722  4.12266151  8.544518    4.12266151  9.05919534
  4.12266151  9.74412142  2.7512369   6.92588382  8.02984066  2.7512369
  5.49408612  6.92588382  5.49408612  8.46912962  8.02984066  4.46551766
  2.7512369 ]",0.20519378130977511
Random_Forest,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.183052385621075,0.11723637698432654,0.027704682091150845,21.950711470795348,4.685158638807799,3.9440712293540834,"[ 7.31113049 14.06505754  4.07258883 11.35469394  3.04857546 11.07587667
  3.46454425 10.8229937   3.50887633  5.32992409  8.49738779  1.65628388
  6.74725131  6.77099183  5.27998012  9.30474214  7.11115992  4.62365556
  1.69935542]",0.15534770352992416
Decision_Tree,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2}",0.08799047636342286,0.18458302789238332,-0.014045618574628271,22.893273660341332,4.784691595112618,3.8829573934837085,"[ 8.14285714 18.25        4.14285714  8.14285714  4.14285714  8.14285714
  1.75        8.14285714  1.75        4.14285714  8.14285714  4.14285714
  3.83333333  4.14285714  9.         12.8         8.14285714  4.14285714
  1.75      ]",0.10203609493805113
Gradient_Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.13832054436355182,0.0750589611873873,-0.05799081972608966,23.885388312375706,4.887267980413567,4.32703834789213,"[ 8.14529656 11.4079239   4.78210565 10.34023541  4.34531993  9.38529796
  4.36892543 10.7419147   4.38514451  5.52004212  8.21395079  3.57445639
  6.5554947   6.46502366  6.13454437  8.65979956  7.33442843  5.15956591
  3.55019068]",0.19631136408964148
